3.0928,3.0411,3.0059,2.9779,2.9539,2.9326,2.9131,2.8949,2.8776,2.861,2.8449,2.8292,2.8137,2.7984,2.7831,2.7679,2.7525,2.7371,2.7214,2.7054,2.6891,2.6724,2.6552,2.6374,2.6189,2.5997,2.5796,2.5586,2.5364,2.5129
3.0999,3.0493,3.015,2.9878,2.9646,2.9439,2.925,2.9074,2.8907,2.8746,2.8591,2.844,2.8292,2.8145,2.7998,2.7852,2.7706,2.7558,2.7408,2.7256,2.71,2.6941,2.6777,2.6609,2.6433,2.6251,2.6061,2.5862,2.5652,2.543
3.1072,3.0579,3.0244,2.998,2.9755,2.9554,2.9372,2.9201,2.904,2.8886,2.8737,2.8591,2.8449,2.8308,2.8168,2.8028,2.7888,2.7747,2.7604,2.7459,2.7311,2.716,2.7005,2.6844,2.6679,2.6506,2.6327,2.6138,2.594,2.5731
3.1149,3.0667,3.0342,3.0086,2.9867,2.9674,2.9497,2.9333,2.9178,2.9029,2.8886,2.8746,2.861,2.8475,2.8341,2.8207,2.8074,2.7939,2.7803,2.7666,2.7525,2.7382,2.7234,2.7083,2.6926,2.6764,2.6594,2.6417,2.623,2.6033
3.123,3.0761,3.0445,3.0196,2.9985,2.9798,2.9628,2.9469,2.932,2.9178,2.904,2.8907,2.8776,2.8647,2.8519,2.8392,2.8264,2.8137,2.8007,2.7877,2.7744,2.7608,2.7469,2.7326,2.7178,2.7025,2.6865,2.6699,2.6524,2.6339
3.1315,3.0859,3.0553,3.0312,3.0109,2.9928,2.9765,2.9613,2.9469,2.9333,2.9201,2.9074,2.8949,2.8826,2.8704,2.8583,2.8462,2.8341,2.8219,2.8095,2.7969,2.7841,2.771,2.7575,2.7436,2.7293,2.7143,2.6987,2.6824,2.6651
3.1408,3.0965,3.0669,3.0437,3.0241,3.0067,2.991,2.9765,2.9628,2.9497,2.9372,2.925,2.9131,2.9014,2.8899,2.8784,2.867,2.8555,2.844,2.8323,2.8205,2.8084,2.7961,2.7835,2.7705,2.757,2.7431,2.7285,2.7133,2.6973
3.1509,3.1081,3.0795,3.0572,3.0384,3.0218,3.0067,2.9928,2.9798,2.9674,2.9554,2.9439,2.9326,2.9216,2.9107,2.8998,2.8891,2.8783,2.8674,2.8565,2.8454,2.8341,2.8226,2.8108,2.7987,2.7862,2.7732,2.7597,2.7456,2.7309
3.1622,3.1209,3.0935,3.0722,3.0542,3.0384,3.0241,3.0109,2.9985,2.9867,2.9755,2.9646,2.9539,2.9435,2.9333,2.9231,2.913,2.9029,2.8928,2.8826,2.8723,2.8618,2.8511,2.8402,2.829,2.8174,2.8055,2.7931,2.7801,2.7666
3.1752,3.1357,3.1096,3.0892,3.0722,3.0572,3.0437,3.0312,3.0196,3.0086,2.998,2.9878,2.9779,2.9682,2.9586,2.9492,2.9398,2.9304,2.921,2.9116,2.9021,2.8924,2.8826,2.8726,2.8623,2.8517,2.8408,2.8295,2.8178,2.8055
3.1909,3.1534,3.1287,3.1096,3.0935,3.0795,3.0669,3.0553,3.0445,3.0342,3.0244,3.015,3.0059,2.9969,2.9881,2.9795,2.9709,2.9623,2.9537,2.9451,2.9365,2.9277,2.9188,2.9097,2.9005,2.891,2.8812,2.871,2.8605,2.8495
3.2113,3.1763,3.1534,3.1357,3.1209,3.1081,3.0965,3.0859,3.0761,3.0667,3.0579,3.0493,3.0411,3.033,3.0251,3.0173,3.0096,3.002,2.9944,2.9867,2.979,2.9713,2.9634,2.9554,2.9473,2.939,2.9304,2.9216,2.9124,2.9029
3.2428,3.2113,3.1909,3.1752,3.1622,3.1509,3.1408,3.1315,3.123,3.1149,3.1072,3.0999,3.0928,3.0859,3.0792,3.0726,3.0661,3.0596,3.0532,3.0468,3.0403,3.0338,3.0273,3.0207,3.014,3.0071,3.0001,2.9928,2.9854,2.9777
