1.3501,1.3501,1.3501,1.3501,1.3501,1.3501,1.3501,1.35,1.3498,1.3494,1.3487,1.3476,1.3461,1.3441,1.3414,1.3382,1.3342,1.3294,1.3238,1.3174,1.31,1.3016,1.2921,1.2815,1.2698,1.2567,1.2422,1.2263,1.2086,1.1891,1.1673
1.3525,1.3525,1.3525,1.3525,1.3525,1.3525,1.3525,1.3524,1.3522,1.3518,1.3511,1.3501,1.3486,1.3466,1.3441,1.3408,1.3369,1.3323,1.3268,1.3205,1.3133,1.3051,1.2959,1.2856,1.2741,1.2615,1.2475,1.2321,1.2152,1.1966,1.176
1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3544,1.3543,1.3541,1.3537,1.353,1.352,1.3506,1.3486,1.3461,1.3429,1.3391,1.3345,1.3291,1.3229,1.3158,1.3078,1.2988,1.2887,1.2775,1.2652,1.2516,1.2367,1.2203,1.2024,1.1827
1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3558,1.3557,1.3555,1.3551,1.3544,1.3534,1.352,1.3501,1.3476,1.3445,1.3407,1.3362,1.3309,1.3248,1.3178,1.3099,1.301,1.2911,1.2801,1.268,1.2547,1.2401,1.2242,1.2068,1.1878
1.3568,1.3568,1.3568,1.3568,1.3568,1.3568,1.3567,1.3567,1.3565,1.3561,1.3554,1.3544,1.353,1.3511,1.3487,1.3456,1.3418,1.3374,1.3321,1.3261,1.3191,1.3113,1.3025,1.2928,1.282,1.27,1.257,1.2426,1.227,1.21,1.1915
1.3574,1.3574,1.3574,1.3574,1.3574,1.3574,1.3574,1.3573,1.3571,1.3567,1.3561,1.3551,1.3537,1.3518,1.3494,1.3463,1.3426,1.3381,1.3329,1.3269,1.3201,1.3123,1.3036,1.2939,1.2832,1.2714,1.2585,1.2444,1.229,1.2123,1.1941
1.3578,1.3578,1.3578,1.3578,1.3578,1.3578,1.3578,1.3577,1.3575,1.3571,1.3565,1.3555,1.3541,1.3522,1.3498,1.3467,1.343,1.3386,1.3334,1.3274,1.3206,1.3129,1.3042,1.2946,1.284,1.2723,1.2595,1.2455,1.2302,1.2137,1.1958
1.358,1.358,1.358,1.358,1.358,1.358,1.358,1.3579,1.3577,1.3573,1.3567,1.3557,1.3543,1.3524,1.35,1.3469,1.3432,1.3388,1.3337,1.3277,1.3209,1.3132,1.3046,1.295,1.2844,1.2728,1.26,1.2461,1.231,1.2146,1.1968
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.358,1.3578,1.3574,1.3567,1.3558,1.3544,1.3525,1.3501,1.347,1.3433,1.3389,1.3338,1.3278,1.321,1.3133,1.3047,1.2952,1.2846,1.273,1.2603,1.2464,1.2313,1.215,1.1973
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.3578,1.3574,1.3568,1.3558,1.3544,1.3525,1.3501,1.3471,1.3434,1.339,1.3338,1.3279,1.3211,1.3134,1.3048,1.2952,1.2847,1.2731,1.2603,1.2465,1.2314,1.2151,1.1975
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.3578,1.3574,1.3568,1.3558,1.3544,1.3525,1.3501,1.3471,1.3434,1.339,1.3338,1.3279,1.3211,1.3134,1.3048,1.2952,1.2847,1.2731,1.2604,1.2465,1.2315,1.2152,1.1975
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.3578,1.3574,1.3568,1.3558,1.3544,1.3525,1.3501,1.3471,1.3434,1.339,1.3338,1.3279,1.3211,1.3134,1.3048,1.2952,1.2847,1.2731,1.2604,1.2465,1.2315,1.2152,1.1976
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.3578,1.3574,1.3568,1.3558,1.3544,1.3525,1.3501,1.3471,1.3434,1.339,1.3338,1.3279,1.3211,1.3134,1.3048,1.2952,1.2847,1.2731,1.2604,1.2465,1.2315,1.2152,1.1976
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.3578,1.3574,1.3568,1.3558,1.3544,1.3525,1.3501,1.3471,1.3434,1.339,1.3338,1.3279,1.3211,1.3134,1.3048,1.2952,1.2847,1.2731,1.2604,1.2465,1.2315,1.2152,1.1976
1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.3581,1.358,1.3578,1.3574,1.3568,1.3558,1.3544,1.3525,1.3501,1.3471,1.3434,1.339,1.3338,1.3279,1.3211,1.3134,1.3048,1.2952,1.2847,1.2731,1.2604,1.2465,1.2315,1.2152,1.1976
